Terminate or Liquidate? Poe, Sensationalism, and the Sentimental Tradition; The American Face of Edgar Allan Poe; 1995;https://books.google.com/books?hl=en&lr=&id=SU-UMR8NvTwC&oi=fnd&pg=PR9&dq=jonathan+elmer+literature&ots=o4rjPC-1b1&sig=2frLSSRzS2FWsjQ5jkwp3d_vXZk#v=onepage&q=jonathan%20elmer%20literature&f=false
Andre, Theatricality, and the Time of Revolution; Writing about Time: Essays on American Literature; 2018; https://books.google.com/books?hl=en&lr=&id=BnaIDwAAQBAJ&oi=fnd&pg=PA111&dq=jonathan+elmer+literature&ots=dwwBWAB5SN&sig=4UPh5_72AUiOI5mB8Ww1jwr0HyE#v=onepage&q=jonathan%20elmer%20literature&f=false
